human,name_hu,alias_hu
http://www.wikidata.org/entity/Q1178,Maurice Ravel,Joseph-Maurice Ravel
http://www.wikidata.org/entity/Q680,Alessandro Volta,Alessandro Giuseppe Antonio Anastasio Volta
http://www.wikidata.org/entity/Q687,Molière,Jean-Baptiste Poquelin
http://www.wikidata.org/entity/Q1933,Anja Pärson,Pärson
http://www.wikidata.org/entity/Q1933,Anja Pärson,Anja Sofia Tess Pärson
http://www.wikidata.org/entity/Q3188,Jackie Stewart,John Young Stewart
http://www.wikidata.org/entity/Q3234,Jochen Rindt,Karl Jochen Rindt
http://www.wikidata.org/entity/Q1151,Hector Berlioz,Louis Hector Berlioz
http://www.wikidata.org/entity/Q1416,Otho római császár,Imperator Marcus Otho Caesar Augustus
http://www.wikidata.org/entity/Q1416,Otho római császár,Marcus Salvius Otho
http://www.wikidata.org/entity/Q1416,Otho római császár,Otho
http://www.wikidata.org/entity/Q3335,George Orwell,Eric Arthur Blair
http://www.wikidata.org/entity/Q1189,Usain Bolt,Usain St. Leo Bolt
http://www.wikidata.org/entity/Q1192,Jean-Baptiste Lully,Jean-Baptiste de Lully
http://www.wikidata.org/entity/Q692,William Shakespeare,Shakespeare
http://www.wikidata.org/entity/Q635,VII. Kleopátra,VII. Kleopátra Philopatór
http://www.wikidata.org/entity/Q619,Kopernikusz,Mikołaj Kopernik
http://www.wikidata.org/entity/Q619,Kopernikusz,Nicolaus Copernicus
http://www.wikidata.org/entity/Q619,Kopernikusz,Nikolausz Kopernikusz
http://www.wikidata.org/entity/Q633,Neil Young,Neil Percival Young
http://www.wikidata.org/entity/Q1035,Charles Darwin,Charles Robert Darwin
http://www.wikidata.org/entity/Q1417,Vitellius római császár,Aulus Vitellius
http://www.wikidata.org/entity/Q1417,Vitellius római császár,Aulus Vitellius Augustus Imperator Germanicus
http://www.wikidata.org/entity/Q1417,Vitellius római császár,Vitellius
http://www.wikidata.org/entity/Q636,Kate Bush,Catherine Bush
http://www.wikidata.org/entity/Q762,Leonardo da Vinci,Leonardo ser Piero da Vinci
http://www.wikidata.org/entity/Q939,I. Péter,IV. Péter
